Disease Name,Symptoms,Causes,Treatments
Apple___Apple_scab,Apple scab typically presents as gray to black scabs on leaves and fruit. In advanced stages, you may notice a velvety texture on the underside of leaves.,The disease is caused by the fungus Venturia inaequalis. It spreads through water splashes during rainfall or irrigation.,"Control measures include the use of fungicides specifically designed for apple scab, implementing proper pruning to improve air circulation, and maintaining good sanitation in the orchard. Avoid overhead watering to reduce disease spread."
Apple___Black_rot,Black circular lesions on fruit and leaves,Fungus (Botryosphaeria obtusa),"Fungicides, Pruning, Removal of infected fruit"
Apple___Cedar_apple_rust,Bright orange spots on leaves and fruit,Fungus (Gymnosporangium juniperi-virginianae),"Fungicides, Removal of cedar trees"
Apple___healthy,No disease symptoms,Nil,General tree care and maintenance
Blueberry___healthy,No disease symptoms,Nil,"Proper pruning, Fertilization, Pest control"
Cherry_(including_sour)___Powdery_mildew,"White, powdery spots on leaves",Fungus (Podosphaera spp.),"Fungicides, Pruning, Adequate spacing for air circulation"
Cherry_(including_sour)___healthy,No disease symptoms,Nil,"Proper pruning, Pest control, Disease prevention"
Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot,Gray to tan lesions on the leaves,Fungus (Cercospora zeae-maydis),"Fungicides, Crop rotation, Resistant corn varieties"
Corn_(maize)___Common_rust_,Common rust is identified by reddish-brown pustules that develop on the leaves, reducing photosynthesis and overall plant health.,The fungus Puccinia sorghi is responsible for common rust. It thrives in warm, humid conditions.,"Control measures include the application of fungicides specific to common rust, and in some cases, planting resistant corn varieties can help reduce the impact of the disease."
Corn_(maize)___Northern_Leaf_Blight,"Long, gray-green lesions on the leaves",Fungus (Exserohilum turcicum),"Fungicides, Crop rotation, Resistant corn varieties"
Corn_(maize)___healthy,No disease symptoms,Nil,Proper planting and crop management
Grape___Black_rot,Black circular lesions on leaves and fruit,Fungus (Guignardia bidwellii),"Fungicides, Pruning, Removal of infected fruit"
Grape___Esca_(Black_Measles),Yellowing of leaves and black streaks in the wood,Fungus (Phaeoacremonium spp.),"Pruning, Reducing stress on the vine"
Grape___Leaf_blight_(Isariopsis_Leaf_Spot),"Circular, brown lesions on the leaves",Fungus (Isariopsis spp.),"Fungicides, Pruning, Proper vine spacing"
Grape___healthy,No disease symptoms,Nil,"Proper pruning, Pest control, Disease prevention"
Orange___Haunglongbing_(Citrus_greening),"Deformed, bitter fruit, leaf mottling",Bacterium (Candidatus Liberibacter spp.),"Pesticides, Removal of infected trees"
Peach___Bacterial_spot,"Small, dark lesions on the leaves and fruit",Bacterium (Xanthomonas arboricola pv. pruni),"Copper-based fungicides, Pruning, Removal of infected branches"
Peach___healthy,No disease symptoms,Nil,"Proper pruning, Pest control, Disease prevention"
"Pepper,_bell___Bacterial_spot","Small, water-soaked lesions on the leaves and fruit",Bacterium (Xanthomonas spp.),"Copper-based fungicides, Pruning, Removal of infected plants"
"Pepper,_bell___healthy",No disease symptoms,Nil,"Proper pruning, Pest control, Disease prevention"
Potato___Early_blight,"Small, dark lesions on the leaves",Fungus (Alternaria solani),"Fungicides, Crop rotation, Removal of infected leaves"
Potato___Late_blight,"Large, dark lesions on the leaves",Oomycete (Phytophthora infestans),"Fungicides, Resistant potato varieties, Proper spacing"
Potato___healthy,No disease symptoms,Nil,"Proper planting, Pest control, Disease prevention"
Raspberry___healthy,No disease symptoms,Nil,"Proper pruning, Pest control, Disease prevention"
Soybean___healthy,No disease symptoms,Nil,Proper planting and crop management
Squash___Powdery_mildew,"White, powdery spots on the leaves",Fungus (Podosphaera spp.),"Fungicides, Proper spacing, Pruning"
Strawberry___Leaf_scorch,"Brown, scorched areas on the leaves",Fungus (Diplocarpon earlianum),"Fungicides, Proper spacing, Pruning"
Strawberry___healthy,No disease symptoms,Nil,"Proper pruning, Pest control, Disease prevention"
Tomato___Bacterial_spot,"Small, water-soaked lesions on the leaves and fruit",Bacterium (Xanthomonas campestris pv. vesicatoria),"Copper-based fungicides, Proper plant spacing, Removal of infected leaves"
Tomato___Early_blight,"Small, dark lesions on the leaves",Fungus (Alternaria solani),"Fungicides, Proper plant spacing, Removal of infected leaves"
Tomato___Late_blight,"Large, dark lesions on the leaves",Oomycete (Phytophthora infestans),"Fungicides, Proper plant spacing, Removal of infected leaves"
Tomato___Leaf_Mold,"Brown, felt-like patches on the leaves",Fungus (Passalora fulva),"Fungicides, Proper plant spacing, Adequate ventilation"
Tomato___Septoria_leaf_spot,"Small, circular lesions on the leaves",Fungus (Septoria lycopersici),"Fungicides, Proper plant spacing, Removal of infected leaves"
Tomato___Spider_mites Two-spotted spider mite,"Stippling on leaves, webbing, reduced growth",Mite (Tetranychus urticae),"Predatory mites, Insecticidal soap, Miticides"
Tomato___Target_Spot,Dark lesions with concentric rings on the leaves,Fungus (Corynespora cassiicola),"Fungicides, Proper plant spacing, Removal of infected leaves"
Tomato___Tomato_Yellow_Leaf_Curl_Virus,"Curling and yellowing of leaves, reduced fruit quality",Virus (Tomato yellow leaf curl virus),"Resistant tomato varieties, Pest control, Removal of infected plants"
Tomato___Tomato_mosaic_virus,"Mottled leaves, reduced fruit quality",Virus (Tomato mosaic virus),"Resistant tomato varieties, Pest control, Removal of infected plants"
Tomato___healthy,No disease symptoms,Nil,Proper planting and care
